Series,EpisodeNumber,EpisodeTitle,AirDate,TaskNumber,Description,IsLive,IsTeam,IsPrize,Contestant1,Contestant2,Contestant3,Contestant4,Contestant5
1,1,Melon buffet,28 July 2015,1,Most unusual item.,FALSE,FALSE,TRUE,4,1,2,3,5
1,1,Melon buffet,28 July 2015,2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",FALSE,FALSE,FALSE,2,3,1,5,4
1,1,Melon buffet,28 July 2015,3,Paint the best picture of a horse whilst riding a horse.,FALSE,FALSE,FALSE,5,3,1,4,2
1,1,Melon buffet,28 July 2015,4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",FALSE,FALSE,FALSE,4,3,2,5,1
1,1,Melon buffet,28 July 2015,5,Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.,TRUE,FALSE,FALSE,4,3,1,2,5
1,2,The pie whisperer,4 August 2015,1,Most impressive item.,FALSE,FALSE,TRUE,4,2,3,1,5
1,2,The pie whisperer,4 August 2015,2,High-five a 55-year-old.,FALSE,FALSE,FALSE,2,5,4,1,3
1,2,The pie whisperer,4 August 2015,3,"Identify the contents of these pies. You may touch the pies, but may not breach their pastry.",FALSE,FALSE,FALSE,1,2,4,3,5
1,2,The pie whisperer,4 August 2015,4,Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.,FALSE,FALSE,FALSE,1,4,5,5,3
1,2,The pie whisperer,4 August 2015,5,"Crack the code, unshackle yourself and sprint 1 metre.",TRUE,FALSE,FALSE,1,3,5,4,2
1,3,The poet and the egg,11 August 2015,1,Most meaningful item.,FALSE,FALSE,TRUE,4,2,1,5,3
1,3,The poet and the egg,11 August 2015,2,Throw a teabag into a mug from the farthest distance.,FALSE,FALSE,FALSE,4,DQ,2,3,5
1,3,The poet and the egg,11 August 2015,3,"Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.",FALSE,FALSE,FALSE,2,5,1,4,3
